file,filename,chroma_stft,chroma_cqt,chroma_cens,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,rmse,zero_crossing_rate
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_2_M9_s3_Babble_20dB.wav,Chromebook_Building_Lobby_2_M9_s3_Babble_20dB.wav,0.41013157,0.46578184,0.2573385,-9.25022,1249.8109369842662,1430.452187298921,18.306821651177987,2387.31737012987,0.054644894,0.08732624797077922,0.01566927
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Office_1_1_M8_s4_Babble_20dB.wav,Chromebook_Office_1_1_M8_s4_Babble_20dB.wav,0.3348933,0.4264681,0.25283247,-12.35741,1077.6649805171296,1182.791934609854,20.148713203728484,2180.486400118906,0.06122106,0.07238871135552913,0.004617143
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_2_M7_s4_Fan_10dB.wav,Chromebook_Building_Lobby_2_M7_s4_Fan_10dB.wav,0.45540857,0.52942294,0.2683509,-3.8702686,1364.069414801298,1641.1826299501981,16.104506024816892,2853.8691726165475,0.05180395,0.08963313897784544,0.02609846
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_1_M8_s3_Ambient_20dB.wav,Chromebook_Building_Lobby_1_M8_s3_Ambient_20dB.wav,0.4242524,0.44129997,0.25642583,-7.4529223,1054.2794655209027,1093.106148903835,18.559578721996953,1975.8522727272727,0.06593794,0.07678649475524475,0.007292704
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_2_M9_s4_Ambient_20dB.wav,Chromebook_Building_Lobby_2_M9_s4_Ambient_20dB.wav,0.43428665,0.49276438,0.26247373,-7.4345407,1272.3383043268782,1498.8708709017783,17.28163812136459,2533.5149265644955,0.056485444,0.08390580100574713,0.017722975
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_1_M8_s4_Ambient_0dB.wav,Chromebook_Building_Lobby_1_M8_s4_Ambient_0dB.wav,0.4792046,0.5969545,0.2798674,-2.5115552,1416.7864168971987,1602.4577226601562,15.852385910748511,2921.387299346017,0.0380761,0.09415293363555291,0.023872549
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_2_M9_s3_Ambient_10dB.wav,Chromebook_Building_Lobby_2_M9_s3_Ambient_10dB.wav,0.4524223,0.52760535,0.26883596,-3.60591,1329.2179408289946,1616.2110108782638,16.68607003041396,2768.648538961039,0.058417864,0.08385881696428571,0.020425888
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_1_M9_s4_Fan_0dB.wav,Chromebook_Building_Lobby_1_M9_s4_Fan_0dB.wav,0.50510204,0.62581545,0.28083116,0.10527065,1495.2203581529393,1751.9950564678927,15.45536722855019,3250.548770753512,0.066082776,0.09655122525542784,0.030205883
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_1_M8_s3_Fan_20dB.wav,Chromebook_Building_Lobby_1_M8_s3_Fan_20dB.wav,0.42708558,0.45163578,0.25775582,-7.042148,1083.7203267144957,1142.3485634902831,18.59364698195319,2034.910402097902,0.06576022,0.0773157506555944,0.008447757
/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Office_1_1_M8_s4_Fan_0dB.wav,Chromebook_Office_1_1_M8_s4_Fan_0dB.wav,0.39879203,0.48480213,0.26200137,0.40590826,1133.6193150289728,1487.3791853995012,16.375775007140025,2228.685159036861,0.08275721,0.05977613378790131,0.0072241956
