,file,filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,FBDRRMean(Ch),FBT60Mean(Ch)
0,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_2_M9_s3_Babble_20dB.wav,Chromebook_Building_Lobby_2_M9_s3_Babble_20dB.wav,0.41013157,1249.8109369842662,1430.452187298921,2387.31737012987,0.054644894,0.0873262479707792,2.813342704,0.6618171343
1,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Office_1_1_M8_s4_Babble_20dB.wav,Chromebook_Office_1_1_M8_s4_Babble_20dB.wav,0.3348933,1077.6649805171296,1182.791934609854,2180.486400118906,0.06122106,0.0723887113555291,3.520587098,0.3356312115
2,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_2_M7_s4_Fan_10dB.wav,Chromebook_Building_Lobby_2_M7_s4_Fan_10dB.wav,0.45540857,1364.069414801298,1641.182629950198,2853.8691726165475,0.05180395,0.0896331389778454,2.813342704,0.6618171343
3,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_1_M8_s3_Ambient_20dB.wav,Chromebook_Building_Lobby_1_M8_s3_Ambient_20dB.wav,0.4242524,1054.2794655209027,1093.106148903835,1975.8522727272727,0.06593794,0.0767864947552447,2.552247862,0.7346885239
4,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_2_M9_s4_Ambient_20dB.wav,Chromebook_Building_Lobby_2_M9_s4_Ambient_20dB.wav,0.43428665,1272.3383043268782,1498.8708709017783,2533.5149265644955,0.056485444,0.0839058010057471,2.813342704,0.6618171343
5,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_1_M8_s4_Ambient_0dB.wav,Chromebook_Building_Lobby_1_M8_s4_Ambient_0dB.wav,0.4792046,1416.7864168971987,1602.4577226601562,2921.387299346017,0.0380761,0.0941529336355529,2.552247862,0.7346885239
6,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_2_M9_s3_Ambient_10dB.wav,Chromebook_Building_Lobby_2_M9_s3_Ambient_10dB.wav,0.4524223,1329.2179408289946,1616.2110108782638,2768.648538961039,0.058417864,0.0838588169642857,2.813342704,0.6618171343
7,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_1_M9_s4_Fan_0dB.wav,Chromebook_Building_Lobby_1_M9_s4_Fan_0dB.wav,0.50510204,1495.2203581529393,1751.9950564678927,3250.548770753512,0.066082776,0.0965512252554278,2.552247862,0.7346885239
8,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Building_Lobby_1_M8_s3_Fan_20dB.wav,Chromebook_Building_Lobby_1_M8_s3_Fan_20dB.wav,0.42708558,1083.7203267144955,1142.3485634902831,2034.910402097902,0.06576022,0.0773157506555944,2.552247862,0.7346885239
9,/home/konstantis/Nextcloud/ΤΗΜΜΥ/Thesis/Data/ACE/script-output/Dev/Speech/Chromebook/Chromebook_Office_1_1_M8_s4_Fan_0dB.wav,Chromebook_Office_1_1_M8_s4_Fan_0dB.wav,0.39879203,1133.6193150289728,1487.3791853995012,2228.685159036861,0.08275721,0.0597761337879013,3.520587098,0.3356312115
